Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
292,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.fsigen.2016.10.008,,4.988,Service,martin.dahlo@scilifelab.uu.se,1872-4973,"Investigating kinship of Neolithic post-LBK human remains from Krusza Zamkowa, P...","Juras A, Chyleński M, ..., Dabert M",FORENSIC SCI INT-GEN,
293,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.gene.2016.01.044,,2.319,Service,martin.dahlo@scilifelab.uu.se,0378-1119,"mRNA GPR162 changes are associated with decreased food intake in rat, and its hu...","Caruso V, Sreedharan S, ..., Schiöth HB",GENE,26827797
294,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.immuni.2016.07.014,,24.082,Service,martin.dahlo@scilifelab.uu.se,1074-7613,Cellular Barcoding Links B-1a B Cell Potential to a Fetal Hematopoietic Stem Cel...,"Kristiansen TA, Jaensson Gyllenbäck E, ..., Yuan J",IMMUNITY,27533015
295,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.jacc.2016.05.092,,17.759,Service,martin.dahlo@scilifelab.uu.se,0735-1097,Cystatin C and Cardiovascular Disease,"van der Laan SW, Fall T, ..., Asselbergs FW",J AM COLL CARDIOL,27561768
296,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.jaci.2016.06.040,,12.485,Service,martin.dahlo@scilifelab.uu.se,0091-6749,Antibody-encoding repertoires of bone marrow and peripheral blood—a focus on IgE,"Levin M, Levander F, ..., Ohlin M",J ALLERGY CLIN IMMUN,27521279
297,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.jns.2016.10.032,,2.126,Service,martin.dahlo@scilifelab.uu.se,0022-510X,"Novel SACS mutations associated with intellectual disability, epilepsy and wides...","Ali Z, Klar J, ..., Dahl N",J NEUROL SCI,27871429
298,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.myc.2016.02.001,,1.165,Service,martin.dahlo@scilifelab.uu.se,1340-3540,DNA-metabarcoding uncovers the diversity of soil-inhabiting fungi in the tropica...,"Urbina H, Scofield DG, ..., Rosling A",MYCOSCIENCE,
299,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.virol.2016.02.017,,3.2,Service,martin.dahlo@scilifelab.uu.se,0042-6822,Distinct temporal changes in host cell lncRNA expression during the course of an...,"Zhao H, Chen M, ..., Pettersson U",VIROLOGY,
300,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.ygeno.2016.04.006,,2.386,Service,martin.dahlo@scilifelab.uu.se,0888-7543,Allele-specific transcription factor binding in liver and cervix cells unveils m...,"Cavalli M, Pan G, ..., Wadelius C",GENOMICS,
301,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/S2213-8587(16)00113-3,,16.32,Service,martin.dahlo@scilifelab.uu.se,2213-8587,Genetic variants associated with antithyroid drug-induced agranulocytosis: a gen...,"Hallberg P, Eriksson N, ..., Wadelius M",LANCET DIABETES ENDO,27157822
302,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/S2213-8587(16)30396-5,,16.32,Service,martin.dahlo@scilifelab.uu.se,2213-8587,PCSK9 genetic variants and risk of type 2 diabetes: a mendelian randomisation study,"Schmidt AF, Swerdlow DI, ..., Sattar N",LANCET DIABETES ENDO,27908689
303,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1017/S0007485316001048,,1.761,Service,martin.dahlo@scilifelab.uu.se,0007-4853 1475-2670,The great spruce bark beetle (Dendroctonus micans Kug.) (Coleoptera: Scolytidae)...,"Menkis A, Lynikienė J, ..., Povilaitienė A",B ENTOMOL RES,27871337
304,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1017/s0033291715002081,,5.491,Service,martin.dahlo@scilifelab.uu.se,0033-2917 1469-8978,"Somatic, positive and negative domains of the Center for Epidemiological Studies...","Demirkan A, Lahti J, ..., Räikkönen K",PSYCHOL MED,26997408
305,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1017/thg.2016.5,,2.339,Service,martin.dahlo@scilifelab.uu.se,1832-4274 1839-2628,One CNV Discordance in NRXN1 Observed Upon Genome-wide Screening in 38 Pairs of ...,"Magnusson PKE, Lee D, ..., Pawitan Y",TWIN RES HUM GENET,
306,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1017/thg.2016.65,,2.339,Service,martin.dahlo@scilifelab.uu.se,1832-4274 1839-2628,"Personality Polygenes, Positive Affect, and Life Satisfaction","Weiss A, Baselmans BML, ..., Luciano M",TWIN RES HUM GENET,27546527
307,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/bjc.2016.261,,5.569,Service,martin.dahlo@scilifelab.uu.se,0007-0920 1532-1827,Virome characterisation from Guthrie cards in children who later developed acute...,"Bogdanovic G, Pou C, ..., Gustafsson B",BRIT J CANCER,27552439
308,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ismej.2015.185,,9.328,Service,martin.dahlo@scilifelab.uu.se,1751-7362 1751-7370,Microbial metagenomes from three aquifers in the Fennoscandian shield terrestria...,"Wu X, Holmfeldt K, ..., Dopson M",ISME J,26484735
309,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ismej.2016.36,,9.328,Service,martin.dahlo@scilifelab.uu.se,1751-7362 1751-7370,Connectivity to the surface determines diversity patterns in subsurface aquifers...,"Hubalek V, Wu X, ..., Ionescu D",ISME J,
310,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/modpathol.2016.34,,5.485,Service,martin.dahlo@scilifelab.uu.se,0893-3952 1530-0285,Digital image analysis outperforms manual biomarker assessment in breast cancer,"Stålhammar G, Fuentes Martinez N, ..., Hartman J",MODERN PATHOL,26916072
311,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/mp.2016.192,,13.314,Service,martin.dahlo@scilifelab.uu.se,1359-4184 1476-5578,A DNA methylation biomarker of alcohol consumption,"Liu C, Marioni RE, ..., Levy D",MOL PSYCHIATR,27843151
312,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/mp.2016.71,,13.314,Service,martin.dahlo@scilifelab.uu.se,1359-4184 1476-5578,Evidence for three genetic loci involved in both anorexia nervosa risk and varia...,"Hinney A, Kesselmeier M, ..., Hebebrand J",MOL PSYCHIATR,
313,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nature16520,,38.138,Service,martin.dahlo@scilifelab.uu.se,0028-0836 1476-4687,Xenacoelomorpha is the sister group to Nephrozoa,"Cannon JT, Vellutini BC, ..., Hejnol A",NATURE,26842059
314,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nature17671,,38.138,Service,martin.dahlo@scilifelab.uu.se,0028-0836 1476-4687,Genome-wide association study identifies 74 loci associated with educational att...,"Okbay A, Beauchamp JP, ..., Benjamin DJ",NATURE,
315,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nature18614,,38.138,Service,martin.dahlo@scilifelab.uu.se,0028-0836 1476-4687,Cloche is a bHLH-PAS transcription factor that drives haemato-vascular specification,"Reischauer S, Stone OA, ..., Stainier DYR",NATURE,27411634
316,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nature18642,,38.138,Service,martin.dahlo@scilifelab.uu.se,0028-0836 1476-4687,The genetic architecture of type 2 diabetes,"Fuchsberger C, Flannick J, ..., McCarthy MI",NATURE,
317,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ncomms10023,,11.329,Service,martin.dahlo@scilifelab.uu.se,2041-1723,Genetic associations at 53 loci highlight cell types and biological pathways rel...,"Pattaro C, Teumer A, ..., Fox CS",NAT COMMUN,
318,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ncomms10494,,11.329,Service,martin.dahlo@scilifelab.uu.se,2041-1723,Genome-wide meta-analysis uncovers novel loci influencing circulating leptin levels,"Kilpeläinen TO, Carli JFM, ..., Loos RJF",NAT COMMUN,26833098
319,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ncomms10495,,11.329,Service,martin.dahlo@scilifelab.uu.se,2041-1723,New loci for body fat percentage reveal link between adiposity and cardiometabol...,"Lu Y, Day FR, ..., Loos RJF",NAT COMMUN,26833246
320,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ncomms11017,,11.329,Service,martin.dahlo@scilifelab.uu.se,2041-1723,VEGFR2 pY949 signalling regulates adherens junction integrity and metastatic spread,"Li X, Padhan N, ..., Claesson-Welsh L",NAT COMMUN,27005951
321,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ncomms12950,,11.329,Service,martin.dahlo@scilifelab.uu.se,2041-1723,Feralisation targets different genomic loci to domestication in the chicken,"Johnsson M, Gering E, ..., Wright D",NAT COMMUN,27686863
322,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ncomms13182,,11.329,Service,martin.dahlo@scilifelab.uu.se,2041-1723,Massive and parallel expression profiling using microarrayed single-cell sequencing,"Vickovic S, Ståhl PL, ..., Lundeberg J",NAT COMMUN,27739429
323,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3430,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,Structural genomic changes underlie alternative reproductive strategies in the r...,"Lamichhaney S, Fan G, ..., Andersson L",NAT GENET,26569123
324,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3475,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,Regulatory mutations in TBX3 disrupt asymmetric hair pigmentation that underlies...,"Imsland F, McGowan K, ..., Andersson L",NAT GENET,26691985
325,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3523,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,Gene regulatory mechanisms underpinning prostate cancer susceptibility,"Whitington T, Gao P, ..., Wiklund F",NAT GENET,26950096
326,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3552,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,"Genetic variants associated with subjective well-being, depressive symptoms, and...","Okbay A, Baselmans BML, ..., Cesarini D",NAT GENET,
327,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3598,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,"Meta-analysis of 375,000 individuals identifies 38 susceptibility loci for migraine","Gormley P, Anttila V, ..., Palotie A",NAT GENET,
328,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3603,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,Genome-wide association meta-analysis in Chinese and European individuals identi...,"Morris DL, Sheng Y, ..., Vyse TJ",NAT GENET,27399966
329,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3654,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,Trans-ancestry meta-analyses identify rare and common variants associated with b...,"Surendran P, Drenos F, ..., Munroe PB",NAT GENET,27618447
330,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3667,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,The genetics of blood pressure regulation and its target organs from association...,"Ehret GB, Ferreira T, ..., Munroe PB",NAT GENET,
331,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3668,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,Discovery and refinement of genetic loci associated with cardiometabolic risk us...,"Iotchkova V, Huang J, ..., Soranzo N",NAT GENET,27668658
332,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3698,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,Genome-wide analysis identifies 12 loci influencing human reproductive behavior,"Barban N, Jansen R, ..., Mills MC",NAT GENET,27798627
333,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3738,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,Multiethnic genome-wide meta-analysis of ectopic fat depots identifies loci asso...,"Chu AY, Deng X, ..., Fox CS",NAT GENET,27918534
334,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nn.4228,,16.724,Service,martin.dahlo@scilifelab.uu.se,1097-6256 1546-1726,Genetic influences on schizophrenia and subcortical brain volumes: large-scale p...,"Franke B, Stein JL, ..., Sullivan PF",NAT NEUROSCI,26854805
335,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nn.4398,,16.724,Service,martin.dahlo@scilifelab.uu.se,1097-6256 1546-1726,Novel genetic loci underlying human intracranial volume identified through genom...,"Adams HHH, Hibar DP, ..., Thompson PM",NAT NEUROSCI,
336,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep21134,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,GeneiASE: Detection of condition-dependent and static allele-specific expression...,"Edsgärd D, Iglesias MJ, ..., Emanuelsson O",SCI REP-UK,26887787
337,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep22806,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Bacterial associations reveal spatial population dynamics in Anopheles gambiae m...,"Buck M, Nilsson LKJ, ..., Terenius O",SCI REP-UK,
338,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep22919,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Whole genome sequencing identifies a novel species of the genus Capnocytophaga i...,"Zangenah S, Abbasi N, ..., Bergman P",SCI REP-UK,26947740
339,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep23518,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,The chemosensory receptors of codling moth Cydia pomonella–expression in larvae ...,"Walker WB, Gonzalez F, ..., Witzgall P",SCI REP-UK,27006164
340,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep27003,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Thermotolerant yeasts selected by adaptive evolution express heat stress respons...,"Caspeta L, Chen Y, Nielsen J",SCI REP-UK,27229477
341,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep28496,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Genetic and environmental influences on height from infancy to early adulthood: ...,"Jelenkovic A, Sund R, ..., Silventoinen K",SCI REP-UK,
342,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep29085,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Exome sequencing in pooled DNA samples to identify maternal pre-eclampsia risk v...,"Kaartokallio T, Wang J, ..., Laivuori H",SCI REP-UK,27384325
343,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep32406,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Sequence variation between 462 human individuals fine-tunes functional sites of ...,"Ferreira PG, Oti M, ..., Sammeth M",SCI REP-UK,27617755
344,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep33240,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Genome-wide association analysis reveals variants on chromosome 19 that contribu...,"Einarsdottir E, Hafrén L, ..., Mattila PS",SCI REP-UK,27632927
345,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep33256,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Investigation of rare and low-frequency variants using high-throughput sequencin...,"Wang J, Skoog T, ..., Jiao H",SCI REP-UK,27633116
346,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep35112,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,"Penicillium arizonense, a new, genome sequenced fungal species, reveals a high c...","Grijseels S, Nielsen JC, ..., Frisvad JC",SCI REP-UK,27739446
347,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep35278,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,No Association of Coronary Artery Disease with X-Chromosomal Variants in Compreh...,"Loley C, Alver M, ..., König IR",SCI REP-UK,27731410
348,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep37137,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,An automated approach to prepare tissue-derived spatially barcoded RNA-sequencin...,"Jemt A, Salmén F, ..., Lundeberg J",SCI REP-UK,27849009
349,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1073/pnas.1520844113,,9.423,Service,martin.dahlo@scilifelab.uu.se,0027-8424 1091-6490,Long-term genetic stability and a high-altitude East Asian origin for the people...,"Jeong C, Ozga AT, ..., Warinner C",P NATL ACAD SCI USA,27325755
350,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1073/pnas.1600084113,,9.423,Service,martin.dahlo@scilifelab.uu.se,0027-8424 1091-6490,Variants within the SP110 nuclear body protein modify risk of canine degenerativ...,"Ivansson EL, Megquier K, ..., Lindblad-Toh K",P NATL ACAD SCI USA,27185954
351,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1073/pnas.1600567113,,9.423,Service,martin.dahlo@scilifelab.uu.se,0027-8424 1091-6490,Conserved 33-kb haplotype in the MHC class III region regulates chronic arthritis,"Yau ACY, Tuncel J, ..., Holmdahl R",P NATL ACAD SCI USA,27303036
