National/ Regional,Platform,Facility,Authors,Title of publication,Journal,Volume,Issue,Pages y-x,Year of publication,"Co-publication, academy - industry, (yes/no)",Journal Impact factor ,
National,Drug Discovery and Development,ADME of Therapeutics (UDOPP),"Helge Gad, Tobias Koolmeister, Ann-Sofie Jemth, Saeed Eshtad, Sylvain A. Jacques,Cecilia E. Ström, Linda M. Svensson, Niklas Schultz, Thomas Lundbäck, Berglind Osk Einarsdottir, Aljona Saleh, Camilla Göktürk, Pawel Baranczewski, Richard Svensson, Ronnie P.-A. Berntsson, Robert Gustafsson, Kia Strömberg, Kumar Sanjiv, Marie-Caroline Jacques-Cordonnier, Matthieu Desroses, Anna-Lena Gustavsson, Roger Olofsson, Fredrik Johansson, Evert J. Homan, Olga Loseva, Lars Bräutigam, Lars Johansson, Andreas Höglund, Anna Hagenkort, Therese Pham, Mikael Altun, Fabienne Z. Gaugaz, Svante Vikingsson, Bastiaan Evers, Martin Henriksson, Karl S. A. Vallin, Olov A. Wallner, Lars G. J. Hammarström, Elisee Wiita, Ingrid Almlöf, Christina Kalderén, Hanna Axelsson, Tatjana Djureinovic, Jordi Carreras Puigvert, Maria Häggblad, Fredrik Jeppsson, Ulf Martens, Cecilia Lundin, Bo Lundgren, Ingrid Granelli, Annika Jenmalm Jensen, Per Artursson, Jonas A. Nilsson, Pål Stenmark, Martin Scobie, Ulrika Warpman Berglund & Thomas Helleday",MTH1 inhibition eradicates cancer by preventing sanitation of the dNTP pool,Nature,508,,215-221,2014,,42.351,24695224
National,Drug Discovery and Development,Biochemical and cellular screening,"Johansson HJ, Sanchez BC, Mundt F, Forshed J, Kovacs A, Panizza E, Hultin-Rosenberg L, Lundgren B, Martens U, Máthé G, Yakhini Z, Helou K, Krawiec K, Kanter L, Hjerpe A, Stål O, Linderholm BK, Lehtiö J.",Retinoic acid receptor alpha is associated with tamoxifen resistance in breast cancer.,Nat Commun,4,,2175,2013,no,10.742,23868472
National,Drug Discovery and Development,Biochemical and cellular screening,"Schmidt L, Kling T, Monsefi N, Olsson M, Hansson C, Baskaran S, Lundgren B, Martens U, Häggblad M, Westermark B, Forsberg Nilsson K, Uhrbom L, Karlsson-Lindahl L, Gerlee P, Nelander S.",Comparative drug pair screening across multiple glioblastoma cell lines reveals novel drug-drug interactions.,Neuro-Oncology,15,11,1469-78,2013,no,5.286,24101737
National,Drug Discovery and Development,Biochemical and cellular screening,"Helge Gad1,9, Tobias Koolmeister1,9, Ann-Sofie Jemth1,9, Saeed Eshtad1,9, Sylvain A. Jacques1,9, Cecilia Ström1,9, Linda M Svensson2, Berglind Einarsdottir3, Niklas Schultz1, Thomas Lundbäck1,4, Aljona Saleh5, Camilla Gokturk1, Pawel Baranczewski1,6, Richard Svensson4,6, Kia Strömberg1, Lars Bräutigam1, Marie-Caroline Jacques-Cordonnier1, Matthieu Desroses1, Anna-Lena Gustavsson1,4, Ronnie P.-A. Berntsson2, Robert Gustafsson2, Roger Olofsson7, Svante Vikingsson1,7, Fredrik Johansson1, Olga Loseva1, Kumar Sanjiv1, Lars Johansson1,4, Andreas Höglund1, Anna Hagenkort1,Therese Pham1,  Mikael Altun1, Fabienne Z. Gaugaz1,6, Bastiaan Evers1,¶, Martin Henriksson1, Karl Vallin1, Olov Wallner1,  Lars GJ Hammarström1,4, Elisee Wiita1, Ingrid Almlöf1, Hanna Axelsson1,4, Maria  Häggblad8, Fredrik Jeppsson1, Ulf Martens8, Cecilia Lundin1, Bo Lundgren8, Ingrid Granelli5, Annika Jenmalm Jensen1,4, Per Artursson4,6, Jonas A. Nilsson3, Pål Stenmark2, Martin Scobie1, Ulrika Warpman Berglund1, and Thomas Helleday1,* ",Targeting MTH1 nucleotide triphosphatase prevents sanitation of oxidised dNTP pools and kills cancer cells,Nature,508,7495,215-21,2014,no,42.351,
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Wei GH, Badis G, Berger MF, Kivioja T, Palin K, Enge M, Bonke M, Jolma A, Varjosalo M, Gehrke AR, Yan J, Talukder S, Turunen M, Taipale M, Stunnenberg HG, Ukkonen E, Hughes TR, Bulyk ML, Taipale J.",Genome-wide analysis of ETS-family DNA-binding in vitro and in vivo.,EMBO J ,29,13,2147-2160,2010,no,10.124,20517297
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Jolma A, Kivioja T, Toivonen J, Cheng L, Wei G, Enge M, Taipale M, Vaquerizas JM, Yan J, Sillanpää MJ, Bonke M, Palin K, Talukder S, Hughes TR, Luscombe NM, Ukkonen E, Taipale J.",Multiplexed massively parallel SELEX for characterization of human transcription factor binding specificities.,Genome Res ,20,6,861-873,2010,no,13.588,20378718
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Kivioja T, Vähärautio A, Karlsson K, Bonke M, Enge M, Linnarsson S, Taipale J.",Counting absolute numbers of molecules using unique molecular identifiers.,Nat Methods,9,1,72-74,2011,no,19.276,22101854
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Mäkinen N, Mehine M, Tolvanen J, Kaasinen E, Li Y, Lehtonen HJ, Gentile M, Yan J, Enge M, Taipale M, Aavikko M, Katainen R, Virolainen E, Böhling T, Koski TA, Launonen V, Sjöberg J, Taipale J, Vahteristo P, Aaltonen LA.","MED12, the mediator complex subunit 12 gene, is mutated at high frequency in uterine leiomyomas.",Science,334,6053,252-255,2011,no,31.201,21868628
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Jolma, A., Taipale, J. ",Methods for Analysis of Transcription Factor DNA-Binding Specificity In Vitro. ,Subcell Biochem ,52,,155-173,2011,no,N/A,
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Nikulenkov F, Spinnler C, Li H, Tonelli C, Shi Y, Turunen M, Kivioja T, Ignatiev I, Kel A, Taipale J, Selivanova G.",Insights into p53 transcriptional function via genome-wide chromatin occupancy and gene expression analysis.,Cell Death Differ,19,12,1992-2002,2012,no,8.371,22790872
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Sur IK, Hallikas O, Vähärautio A, Yan J, Turunen M, Enge M, Taipale M, Karhu A, Aaltonen LA, Taipale J",Mice lacking a Myc enhancer that includes human SNP rs6983267 are resistant to intestinal tumors.,Science,338,6112,1360-1363,2012,no,31.027,23118011
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Jolma A, Yan J, Whitington T, Toivonen J, Nitta KR, Rastas P, Morgunova E, Enge M, Taipale M, Wei G, Palin K, Vaquerizas JM, Vincentelli R, Luscombe NM, Hughes TR, Lemaire P, Ukkonen E, Kivioja T, Taipale J",Binding specificities of human transcription factors,Cell,152,1-2,327-39,2013,no,33.116,23332764
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Yan J, Enge M, Whitington T, Dave K, Liu J, Sur I, Schmierer B, Jolma A, Kivioja T, Taipale M, Taipale J",Transcription factor binding in human cells occurs in dense clusters formed around cohesin anchor sites,Cell,154,4,801-13,2013,no,33.116,23953112
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Lindberg J, Klevebring D, Liu W, Neiman M, Xu J, Wiklund P, Wiklund F, Mills IG, Egevad L, Grönberg H.",Exome Sequencing of Prostate Cancer Supports the Hypothesis of Independent Tumour Origins,Eur Urol,62,2,347-53,2013,no,12.48,22502944
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Lindberg J, Klevebring D, Liu W, Neiman M, Xu J, Wiklund P, Wiklund F, Mills IG, Egevad L, Grönberg H.",Exome sequencing of prostate cancer supports the hypothesis of independent tumour origins.,Eur Urol,63,2,347-53,2013,no,12.48,22502944
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Lindberg J, Mills IG, Klevebring D, Liu W, Neiman M, Xu J, Wikström P, Wiklund P, Wiklund F, Egevad L, Grönberg H.",The mitochondrial and autosomal mutation landscapes of prostate cancer,Eur Urol,63,4,702-708,2013,no,12.48,23265383
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Gylfe AE, Kondelin J, Turunen M, Ristolainen H, Katainen R, Pitkänen E, Kaasinen E, Rantanen V, Tanskanen T, Varjosalo M, Lehtonen H, Palin K, Taipale M, Taipale J, Renkonen-Sinisalo L, Järvinen H, Böhm J, Mecklin JP, Ristimäki A, Kilpivaara O, Tuupanen S, Karhu A, Vahteristo P, Aaltonen LA. ",Identification of candidate oncogenes in human colorectal cancers with microsatellite instability,Gastroenterology,145,3,540-543,2013,no,13.926,23684749
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Gylfe AE, Katainen R, Kondelin J, Tanskanen T, Cajuso T, Hänninen U, Taipale J, Taipale M, Renkonen-Sinisalo L, Järvinen H, Mecklin JP, Kilpivaara O, Pitkänen E, Vahteristo P, Tuupanen S, Karhu A, Aaltonen LA. 
",Eleven candidate susceptibility genes for common familial colorectal cancer,PLoS Genet,9,10,e1003876,2013,no,8.167,24146633
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Tanskanen T, Gylfe AE, Katainen R, Taipale M, Renkonen-Sinisalo L, Mecklin JP, Järvinen H, Tuupanen S, Kilpivaara O, Vahteristo P, Aaltonen LA",Exome sequencing in diagnostic evaluation of colorectal cancer predisposition in young patients,Scand J Gastroentero,48,6,672-678,2013,no,2.329,23544471
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Tuupanen S, Hänninen UA, Kondelin J, von Nandelstadh P, Cajuso T, Gylfe AE, Katainen R, Tanskanen T, Ristolainen H1, Böhm J, Mecklin JP, Järvinen H, Renkonen-Sinisalo L, Andersen CL, Taipale M, Taipale J, Vahteristo P, Lehti K, Pitkänen E, Aaltonen LA.",Identification of 33 candidate oncogenes by screening for base-specific mutations.,Brit J Cancer ,8,111,1657–1662,2014,no,4.817,25117815
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Cajuso T, Hänninen UA, Kondelin J, Gylfe AE, Tanskanen T, Katainen R, Pitkänen E, Ristolainen H, Kaasinen E, Taipale M, Taipale J, Böhm J, Renkonen-Sinisalo L, Mecklin JP, Järvinen H, Tuupanen S, Kilpivaara O, Vahteristo P.","Exome sequencing reveals frequent inactivating mutations in ARID1A, ARID1B, ARID2 and ARID4A in microsatellite unstable colorectal cancer.",Int J Cancer,3,135,611-623,2014,no,5.007,24382590
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Morero NR1, Botti H, Nitta KR, Carrión F, Obal G, Picardeau M, Buschiazzo A.","HemR is an OmpR/PhoB-like response regulator from Leptospira, which simultaneously effects transcriptional activation and repression of key haem metabolism genes.",Mol Microbiol,94,2,340-52 ,2014,no,5.026,25145397
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Ahola V, Lehtonen R, Somervuo P, Salmela L, Koskinen P, Rastas P, Välimäki N, Paulin L, Kvist J, Wahlberg N, Tanskanen J, Hornett EA, Ferguson LC, Luo S, Cao Z, de Jong MA, Duplouy A, Smolander OP, Vogel H, McCoy RC, Qian K, Chong WS, Zhang Q, Ahmad F, Haukka JK, Joshi A, Salojärvi J, Wheat CW, Grosse-Wilde E, Hughes D, Katainen R, Pitkänen E, Ylinen J, Waterhouse RM, Turunen M, Vähärautio A, Ojanen SP, Schulman AH, Taipale M, Lawson D, Ukkonen E, Mäkinen V, Goldsmith MR, Holm L, Auvinen P, Frilander MJ, Hanski I.",The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera.,Nat Commun,5,5,4737-4745,2014,no,10.742,25189940
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Huang Q, Whitington T, Gao P, Lindberg JF, Yang Y, Sun J, Väisänen MR, Szulkin R, Annala M, Yan J, Egevad LA, Zhang K, Lin R, Jolma A, Nykter M, Manninen A, Wiklund F, Vaarala MH, Visakorpi T, Xu J, Taipale J, Wei GH.",A prostate cancer susceptibility allele at 6q22 increases RFX6 expression by modulating HOXB13 chromatin binding.,Nat Genet,46,2,126-35,2014,,29.648,24390282
National,Functional genomics,Karolinska High Throughput Center (KHTC),"Somervuo P, Kvist J, Ikonen S, Auvinen P, Paulin L, Koskinen P, Holm L, Taipale M, Duplouy A, Ruokolainen A, Saarnio S, Sirén J, Kohonen J, Corander J, Frilander MJ, Ahola V, Hanski I.",Transcriptome analysis reveals signature of adaptation to landscape fragmentation.,PLoS One,7,9,e101467,2014,no,3.534,24988207
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),Hansson J,Familial cutaneous melanoma.,Adv Exp Med Biol,685,,134-145,2010,,1.379,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Stranneheim H, Käller M, Allander T, et al",Classification of DNA sequences using Bloom filters.,Bioinformatics,26,13,1595-1600,2010,,4.877,20472541
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Ensterö M, Akerborg O, Lundin D, et al",A computational screen for site selective A-to-I editing detects novel sites in ...,BMC Bioinformatics,11,,6,2010,,3.029,20047656
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Klevebring D, Fagerberg L, Lundberg E, et al",Analysis of transcript and protein overlap in a human osteosarcoma cell line.,BMC Genomics,11,,684,2010,,4.206,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Sandberg J, Neiman M, Ahmadian A, et al",Gene-specific FACS sorting method for target selection in high-throughput amplic...,BMC Genomics,11,,140,2010,,4.206,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Willing BP, Dicksved J, Halfvarson J, et al",A pyrosequencing study in twins shows that gastrointestinal microbial profiles v...,Gastroenterology,139,6,1844-1854.e1,2010,,12.032,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Ameur A, Wetterbom A, Feuk L, et al",Global and unbiased detection of splice junctions from RNA-seq data.,Genome Biol,11,3,R34,2010,,6.885,20236510
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Wetterbom A, Ameur A, Feuk L, et al",Identification of novel exons and transcribed regions by chimpanzee transcriptom...,Genome Biol,11,7,R78,2010,,6.885,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Marincevic M, Mansouri M, Kanduri M, et al",Distinct gene expression profiles in subsets of chronic lymphocytic leukemia exp...,Haematol-Hematol J,95,12,2072-2079,2010,,6.532,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Jonsson A, Tuominen R, Grafström E, et al",High frequency of p16(INK4A) promoter methylation in NRAS-mutated cutaneous mela...,J Invest Dermatol,130,12,2809-2817,2010,,6.27,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Jovanovic B, Egyhazi S, Eskandarpour M, et al",Coexisting NRAS and BRAF mutations in primary familial melanomas with specific C...,J Invest Dermatol,130,2,618-620,2010,,6.27,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Schlegel S, Klepsch M, Gialama D, et al",Revolutionizing membrane protein overexpression in bacteria.,Microb Biotechnol,3,4,403-411,2010,,N/A,21255339
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Künstner A, Wolf JB, Backström N, et al",Comparative genomics based on massive parallel transcriptome sequencing reveals ...,Mol Ecol,19 Suppl 1,,266-276,2010,,6.457,20331785
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Lundberg E, Fagerberg L, Klevebring D, et al",Defining the transcriptome and proteome in three functionally different human ce...,Mol Syst Biol,6,,450,2010,,9.667,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Rubin CJ, Zody MC, Eriksson J, et al",Whole-genome resequencing reveals loci under selection during chicken domesticat...,Nature,464,7288,587-591,2010,,36.104,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Wallander H, Johansson U, Sterkenburg E, et al",Production of ectomycorrhizal mycelium peaks during canopy closure in Norway spr...,New Phytol,187,4,1124-1134,2010,,6.516,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Johansson A, Marroni F, Hayward C, et al",Linkage and genome-wide association analysis of obesity-related phenotypes: asso...,Obesity (Silver Spring),18,4,803-808,2010,,3.531,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Igl W, Johansson A, Wilson JF, et al",Modeling of environmental effects in genome-wide association studies identifies ...,PLoS Genet,6,1,e1000798,2010,,9.543,20066028
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Hedskog C, Mild M, Jernberg J, et al",Dynamics of HIV-1 quasispecies during antiviral treatment dissected using ultra-...,PLoS ONE,5,7,e11345,2010,,4.411,20628644
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Jakobsson HE, Jernberg C, Andersson AF, et al",Short-term antibiotic treatment has differing long-term impacts on the human thr...,PLoS ONE,5,3,e9836,2010,,4.411,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Klevebring D, Bjursell M, Emanuelsson O, et al",In-depth transcriptome analysis reveals novel TARs and prevalent antisense trans...,PLoS One,5,3,e9762,2010,,4.411,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Lundin S, Stranneheim H, Pettersson E, et al",Increased throughput by parallelization of library preparation for massive seque...,PLoS One,5,4,e10029,2010,,4.411,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Bjursell MK, Blom HJ, Cayuela JA, et al",Adenosine kinase deficiency disrupts the methionine cycle and causes hypermethio...,Am J Hum Genet,89,4,507-515,2011,,10.603,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Fröjmark AS, Schuster J, Sobol M, et al",Mutations in Frizzled 6 cause isolated autosomal-recessive nail dysplasia.,Am J Hum Genet,88,6,852-860,2011,,10.603,21665003
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Deneberg S, Guardiola P, Lennartsson A, et al",Prognostic DNA methylation patterns in cytogenetically normal acute myeloid leuk...,Blood,118,20,5573-5582,2011,,9.898,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Applications),"Håfström T, Jansson DS, Segerman B",Complete genome sequence of Brachyspira intermedia reveals unique genomic featur...,BMC Genomics,12,,395,2011,,4.073,21816042
